"pol","day"
-0.535330689731516,2021-01-26
-0.699858074543197,2021-01-26
-0.635543927605389,2021-01-26
-0.729442479524775,2021-01-26
-0.706915645413036,2021-01-26
-0.570153160883698,2021-01-26
-0.570153160883698,2021-01-26
-0.568037557443755,2021-01-26
-0.563876054093062,2021-01-26
-0.642317233593673,2021-01-26
-0.570153160883698,2021-01-26
-0.476703657224899,2021-01-26
-0.559804693588781,2021-01-26
-0.642317233593673,2021-01-26
-0.559804693588781,2021-01-26
-0.565945330970279,2021-01-26
-0.559804693588781,2021-01-26
-0.561829310300774,2021-01-26
-0.555820267903902,2021-01-26
-0.614423583425377,2021-01-26
-0.544358825235933,2021-01-26
-0.565945330970279,2021-01-26
-0.570153160883698,2021-01-26
-0.572292579885919,2021-01-26
-0.565945330970279,2021-01-26
-0.561829310300774,2021-01-26
-0.637777832305484,2021-01-26
-0.802792329606807,2021-01-26
-0.679099750101732,2021-01-26
-0.557801808120821,2021-01-26
-0.504714614515236,2021-01-26
-0.637777832305484,2021-01-26
-0.817807754799087,2021-01-26
-0.7,2021-01-26
-0.6289804753378,2021-01-26
-0.570153160883698,2021-01-26
-0.465054687180944,2021-01-26
-0.616441400296898,2021-01-26
-0.563876054093062,2021-01-26
-0.716666666666667,2021-01-26
-0.568037557443755,2021-01-26
-0.651694623541534,2021-01-26
-0.646954963376649,2021-01-26
-0.565945330970279,2021-01-26
-0.561829310300774,2021-01-26
-0.555820267903902,2021-01-26
-0.6289804753378,2021-01-26
-0.555820267903902,2021-01-26
-0.559804693588781,2021-01-26
-0.612425452659289,2021-01-26
-0.626837435120165,2021-01-26
-0.563876054093062,2021-01-26
-0.568037557443755,2021-01-26
-0.565945330970279,2021-01-26
-0.55191972660468,2021-01-26
-0.555820267903902,2021-01-26
-0.537100382788965,2021-01-26
-0.55191972660468,2021-01-26
-0.8,2021-01-26
-0.555820267903902,2021-01-26
-0.272123652134985,2021-01-26
-0.557801808120821,2021-01-26
-0.458769875490663,2021-01-26
-0.704539451646375,2021-01-26
-0.518544972870135,2021-01-26
-0.642317233593673,2021-01-26
-0.544358825235933,2021-01-26
-0.758803210934937,2021-01-26
-0.726832659066524,2021-01-26
-0.561829310300774,2021-01-26
-0.568037557443755,2021-01-26
-0.570153160883698,2021-01-26
-0.565945330970279,2021-01-26
-0.737443916112788,2021-01-26
-0.476703657224899,2021-01-26
-0.651694623541534,2021-01-26
-0.559804693588781,2021-01-26
-0.612425452659289,2021-01-26
-0.55,2021-01-26
-0.568037557443755,2021-01-26
-0.559804693588781,2021-01-26
-0.561829310300774,2021-01-26
-0.388770957175118,2021-01-26
-0.693007749061827,2021-01-26
-0.451260859854213,2021-01-26
-0.631145646888424,2021-01-26
-0.542516658107679,2021-01-26
-0.557801808120821,2021-01-26
-0.732080616452524,2021-01-26
-0.561829310300774,2021-01-26
-0.557801808120821,2021-01-26
-0.805614103964821,2021-01-26
-0.402807051982411,2021-01-26
-0.282842712474619,2021-01-26
-0.561829310300774,2021-01-26
-0.458769875490663,2021-01-26
-0.565945330970279,2021-01-26
-0.565945330970279,2021-01-26
-0.530124757075649,2021-01-26
-0.565945330970279,2021-01-26
-0.618479228666081,2021-01-26
-0.565945330970279,2021-01-26
-0.555820267903902,2021-01-26
-0.626837435120165,2021-01-26
-0.563876054093062,2021-01-26
-0.637777832305484,2021-01-26
-0.563876054093062,2021-01-26
-0.561829310300774,2021-01-26
-0.533578375079933,2021-01-26
-0.473286382647969,2021-01-26
-0.546219886477563,2021-01-26
-0.561829310300774,2021-01-26
-0.563876054093062,2021-01-26
-0.565945330970279,2021-01-26
-0.553859696475815,2021-01-26
-0.568037557443755,2021-01-26
-0.561829310300774,2021-01-26
-0.561829310300774,2021-01-26
-0.561829310300774,2021-01-26
-0.563876054093062,2021-01-26
-0.474985800620784,2021-01-26
-0.559804693588781,2021-01-26
-0.572292579885919,2021-01-26
-0.570153160883698,2021-01-26
-0.548100167034684,2021-01-26
-0.572292579885919,2021-01-26
-1.07420076557793,2021-01-26
-0.474985800620784,2021-01-26
-0.640035460010554,2021-01-26
-0.476703657224899,2021-01-26
-0.55,2021-01-26
-0.563876054093062,2021-01-26
-0.563876054093062,2021-01-26
-0.565945330970279,2021-01-26
-0.473286382647969,2021-01-26
-0.478440288321386,2021-01-26
-0.561829310300774,2021-01-26
-0.644623586556778,2021-01-26
-0.563876054093062,2021-01-26
-0.561829310300774,2021-01-26
-0.480196038399025,2021-01-26
-0.565945330970279,2021-01-26
-0.654103854026141,2021-01-26
-0.565945330970279,2021-01-26
-0.649311819864738,2021-01-26
-0.563876054093062,2021-01-26
-0.309239614333041,2021-01-26
-0.561829310300774,2021-01-26
-0.548100167034684,2021-01-26
-0.530124757075649,2021-01-26
-0.568037557443755,2021-01-26
-0.570153160883698,2021-01-26
-0.559804693588781,2021-01-26
-0.572292579885919,2021-01-26
-0.568037557443755,2021-01-26
-0.559804693588781,2021-01-26
-0.481971260861367,2021-01-26
-0.568037557443755,2021-01-26
-0.565945330970279,2021-01-26
